Index,Japanese,English,Chinese,Status,Birth,Living,Voice,Source,Note
33,アドマイヤベガ,Admire Vega,愛慕織姬;oi3 mou6 zik1 gei1,Confirmed,1996-03-12,0,咲々木瞳;ささき ひとみ,馬會網站;https://corporate.hkjc.com/image/201904/20190417_P41-44_Trainer%20Profile_C.pdf,
34,イナリワン,Inari One,稻荷一;dou6 ho4 jat1,Unnamed,1984-05-07,0,井上遥乃;いのうえ はるの,,
35,ウイニングチケット,Winning Ticket,勝利獎券;sing1 lei6 zoeng2 gyun3,Confirmed,1990-03-21,0,渡部優衣;わたなべ ゆい,報紙（來源不明）;https://forum.gamer.com.tw/C.php?bsn=34421&snA=896,
36,エアシャカール,Air Shakur,空中神宮;hung1 zung1 san4 gung1,Confirmed,1997-02-26,0,津田美波;つだ みなみ,馬會網站;https://www.hkjc.com/chinese/special/jc00_formguide.htm,
37,エイシンフラッシュ,Eishin Flash,榮進閃耀;wing4 zeon3 sim2 jiu6,Confirmed,2007-03-27,1,藤野彩水;ふじの あやみ,馬會網站;https://racing.hkjc.com/racing/information/chinese/Horse/OtherHorse.aspx?HorseId=HK_2012_P630,
38,カレンチャン,Curren Chan,真機伶;zan1 gei1 ling4,Confirmed,2007-03-31,1,篠原侑;ささはら ゆう,馬會網站;https://racing.hkjc.com/racing/information/chinese/Horse/OtherHorse.aspx?HorseId=HK_2011_N606,
39,カワカミプリンセス,Kawakami Princess,川上公主;cyun1 soeng5 gung1 zyu2,Unnamed,2003-06-05,1,高橋花林;たかはし かりん,,
40,ゴールドシチー,Gold City,黃金城市;wong4 gam1 sing4 si5,Unnamed,1984-04-16,0,香坂さき;こうさか さき,,香港及愛爾蘭分別有名為「金滿城」及「金城市」的英文同名馬匹
41,サクラバクシンオー,Sakura Bakushin O,櫻花進王;jing1 faa1 zeon3 wong4,Confirmed,1989-04-14,0,三澤紗千香;みさわ さちか,馬會網站;https://racing.hkjc.com/racing/overseas/chinese/20120325/S1/1/expert-column.aspx?para=/20120325/S1/1,
42,シーキングザパール,Seeking the Pearl,採珠;coi2 zyu1,Confirmed,1994-04-16,0,福原綾香;ふくはら あやか,馬會網站;https://www.hkjc.com/chinese/corporate/racing_news_item.asp?in_file=/chinese/news/2016-04/news_2016042101028.html,
43,シンコウウインディ,Shinko Windy,新光風;san1 gwong1 fung1,Newspaper,1993-04-14,0,高田憂希;たかだ ゆうき,,
44,スイープトウショウ,Sweep Tosho,東商變革;dung1 soeng1 bin3 gaak3,Confirmed,2001-05-09,1,杉浦しおり;すぎうら しおり,馬會網站;https://corporate.hkjc.com/image/201412/20141203_HKIR_FORM_GUIDE_C.pdf,
45,スーパークリーク,Super Creek,超級溪流;ciu1 kap1 kai1 lau4,Newspaper,1985-05-27,0,優木かな;ゆうき かな,報紙（來源不明）;https://forum.gamer.com.tw/C.php?bsn=34421&snA=896,
46,スマートファルコン,Smart Falcon,醒目飛鷹;sing2 muk6 fei1 jing1,Confirmed,2005-04-04,1,大和田仁美;おおわだ ひとみ,馬會網站;https://racing.hkjc.com/racing/overseas/chinese/20120331/S1/1/tipsters.aspx?para=/20120331/S1/1,
47,ゼンノロブロイ,Zenno Rob Roy,荒漠英雄;fong1 mok6 jing1 hung4,Confirmed,2000-03-27,1,照井春佳;てるい はるか,馬會網站;https://racing.hkjc.com/racing/information/CHinese/Trainers/TrainerProfile.aspx?TrainerId=FK&Season=Previous,
48,トーセンジョーダン,Tosen Jordan,東瀛佐敦;dung1 jing4 zo3*2 deon1,Confirmed,2006-02-04,1,鈴木絵理;すずき えり,馬會網站;https://racing.hkjc.com/racing/overseas/chinese/20131027/S1/1/entries.aspx,
49,ナカヤマフェスタ,Nakayama Festa,中山慶典;zung1 saan1 hing3 din2,Confirmed,2006-04-05,1,下地紫野;しもじ しの,馬會網站;https://racing.hkjc.com/racing/overseas/chinese/20121007/S1/6/expert-column.aspx,
50,ナリタタイシン,Narita Taishin,成田大進;sing4 tin4 daai6 zeon3,Unnamed,1990-06-10,0,渡部恵子;わたなべ けいこ,,
51,ニシノフラワー,Nishino Flower,西野花;sai1 je5 faa1,Temporary,1989-04-19,0,河井晴菜;かわい はるな,,
52,ハルウララ,Haru Urara,春麗;ceon1 lai6,Unnamed,1996-02-27,0,首藤志奈;しゅとう ゆきな,,
53,バンブーメモリー,Bamboo Memory,青竹回憶;cing1 zuk1 wui4 jik1,Temporary,1985-05-14,0,藍原ことみ;あいはら ことみ,,
54,ビコーペガサス,Biko Pegasus,必高快馬;bit1 gou1 faai3 maa5,Temporary,1991-02-08,0,田中あいみ;たなか あいみ,報紙（來源不明）;https://forum.gamer.com.tw/C.php?bsn=34421&snA=896,
55,マーベラスサンデー,Marvelous Sunday,美麗週日;mei5 lai6 zau1 jat6,Temporary,1992-05-31,0,三宅麻理恵;みやけ まりえ,,
56,マチカネフクキタル,Machikane Fukukitaru,待兼福來;doi6 gim1 fuk1 loi4,Unnamed,1994-05-22,0,新田ひより;にった ひより,,
57,ミスターシービー,Mr CB,千牧先生;cin1 muk6 sin1 saang1,Unnamed,1980-04-07,0,天海由梨奈;あまみ ゆりな,,
58,メイショウドトウ,Meisho Doto,名將戶仁;ming4 zoeng3 wu6 jan4,Confirmed,1996-03-25,0,和多田美咲;わただ みさき,馬會網站;https://www.hkjc.com/chinese/special/jc00_formguide.htm,
59,メジロドーベル,Mejiro Dober,目白多伯;muk6 baak6 do1 baak3,Unnamed,1994-05-06,0,久保田ひかり;くぼた ひかり,,
60,ナイスネイチャ,Nice Nature,好品性;hou2 ban2 sing3,Newspaper,1988-04-16,0,前田佳織里;まえだ かおり,報紙（來源不明）;https://forum.gamer.com.tw/C.php?bsn=34421&snA=896,
61,キングヘイロー,King Halo,帝王光輝;dai3 wong4 gwong1 fai1,Confirmed,1995-04-28,1,佐伯伊織;さえき いおり,馬會網站;https://web.archive.org/web/20010309215610/http://www.hongkongjockeyclub.com/chinese/nationalday2000/sprinter_formguide.htm,
62,マチカネタンホイザ,Machikane Tannhauser,詩歌劇;si1 go1 kek6,Newspaper,1989-05-07,0,遠野ひかる;とおの ひかる,報紙（來源不明）;https://forum.gamer.com.tw/C.php?bsn=34421&snA=896,
63,イクノディクタス,Ikuno Dictus,狄杜斯;dik6 dou6 si1,Newspaper,1987-04-16,0,田澤茉純;たざわ ますみ,報紙（來源不明）;https://forum.gamer.com.tw/C.php?bsn=34421&snA=896,
64,メジロパーマー,Mejiro Palmer,目白善信;muk6 baak6 sin6 seon3,Confirmed,1987-03-21,0,のぐちゆり;のぐち ゆり,馬會網站;https://racing.hkjc.com/racing/overseas/chinese/20141228/S1/1/expert-column.aspx?para=/20141228/S1/1,
65,ダイタクヘリオス,Daitaku Helios,大德日神;daai6 dak1 jat6 san4,Temporary,1987-04-10,0,山根綺;やまね あや,,
66,ツインターボ,Twin Turbo,雙渦輪;soeng1 wo1 leon4,Unnamed,1988-04-13,0,花井美春;はない みはる,,香港有名為「神奇飛龍」的英文同名馬匹
67,サトノダイヤモンド,Satono Diamond,里見光鑽;lei5 gin3 gwong1 zyun3,Confirmed,2013-01-30,1,立花日菜;たちばな ひな,馬會網站;https://racing.hkjc.com/racing/overseas/chinese/20180401/S2/5/form-comment.aspx?para=/20180401/S2/5,
68,キタサンブラック,Kitasan Black,北部玄駒;bak1 bou6 jyun4 keoi1,Confirmed,2012-03-10,1,矢野妃菜喜;やの ひなき,馬會網站;https://racing.hkjc.com/racing/overseas/chinese/20171126/S1/1/tipsters.aspx?para=/20171126/S1/1,
69,メジロアルダン,Mejiro Ardan,雅丹;ngaa5 daan1,Enquiry,1985-03-28,0,会沢紗弥;あいざわ さや,華僑日報 1991-11-23，頁 18;https://mmis.hkpl.gov.hk/coverpage/-/coverpage/view?p_r_p_-1078056564_c=QF757YsWv58JCjtBMMIqotgVL3qr5f1w,查詢回答指命名不一定按規律（指冠名未被翻譯），「雅丹」屬正確名稱
70,サクラチヨノオー,Sakura Chiyono O,櫻花千代;jing1 faa1 cin1 doi6,Unnamed,1985-02-19,0,野口瑠璃子;のぐち るりこ,,
